dbms,label,iteration,execution_time,response_time
aquery,twentypercent_scan,9,0.019000,0.128000
aquery,twentypercent_scan,10,0.018000,0.208000
aquery,twentypercent_scan,11,0.019000,0.128000
aquery,onepercent_index,1,0.022000,0.231000
aquery,onepercent_index,2,0.019000,0.125000
aquery,onepercent_index,3,0.018000,0.129000
aquery,onepercent_index,4,0.019000,0.195000
aquery,onepercent_index,5,0.019000,0.130000
aquery,onepercent_index,6,0.017000,0.131000
aquery,onepercent_index,7,0.017000,0.124000
aquery,onepercent_index,8,0.017000,0.122000
aquery,onepercent_index,9,0.017000,0.123000
aquery,onepercent_index,10,0.018000,0.210000
aquery,onepercent_index,11,0.018000,0.128000
aquery,onepercent_scan,1,0.021000,0.211000
aquery,onepercent_scan,2,0.020000,0.135000
aquery,onepercent_scan,3,0.019000,0.129000
aquery,onepercent_scan,4,0.020000,0.148000
aquery,onepercent_scan,5,0.018000,0.128000
aquery,onepercent_scan,6,0.017000,0.127000
aquery,onepercent_scan,7,0.018000,0.129000
aquery,onepercent_scan,8,0.018000,0.127000
aquery,onepercent_scan,9,0.018000,0.128000
aquery,onepercent_scan,10,0.019000,0.131000
aquery,onepercent_scan,11,0.020000,0.136000
aquery,fivepercent_index,1,0.019000,0.130000
aquery,fivepercent_index,2,0.020000,0.212000
aquery,fivepercent_index,3,0.017000,0.124000
aquery,fivepercent_index,4,0.023000,0.635000
aquery,fivepercent_index,5,0.021000,0.191000
aquery,fivepercent_index,6,0.019000,0.132000
aquery,fivepercent_index,7,0.019000,0.136000
aquery,fivepercent_index,8,0.021000,0.210000
aquery,fivepercent_index,9,0.017000,0.123000
aquery,fivepercent_index,10,0.018000,0.128000
aquery,fivepercent_index,11,0.020000,0.130000
aquery,fivepercent_scan,1,0.019000,0.129000
aquery,fivepercent_scan,2,0.016000,0.135000
aquery,fivepercent_scan,3,0.012000,0.116000
aquery,fivepercent_scan,4,0.012000,0.134000
aquery,fivepercent_scan,5,0.014000,0.126000
aquery,fivepercent_scan,6,0.013000,0.119000
aquery,fivepercent_scan,7,0.010000,0.115000
aquery,fivepercent_scan,8,0.010000,0.118000
aquery,fivepercent_scan,9,0.010000,0.195000
aquery,fivepercent_scan,10,0.010000,0.114000
aquery,fivepercent_scan,11,0.011000,0.116000
aquery,tenpercent_index,1,0.010000,0.118000
aquery,tenpercent_index,2,0.012000,0.121000
aquery,tenpercent_index,3,0.012000,0.116000
aquery,tenpercent_index,4,0.011000,0.114000
aquery,tenpercent_index,5,0.013000,0.122000
aquery,tenpercent_index,6,0.015000,0.119000
aquery,tenpercent_index,7,0.019000,0.210000
aquery,tenpercent_index,8,0.019000,0.133000
aquery,tenpercent_index,9,0.019000,0.127000
aquery,tenpercent_index,10,0.015000,0.128000
aquery,tenpercent_index,11,0.016000,0.127000
aquery,tenpercent_scan,1,0.017000,0.123000
aquery,tenpercent_scan,2,0.019000,0.138000
aquery,tenpercent_scan,3,0.020000,0.135000
aquery,tenpercent_scan,4,0.018000,0.123000
aquery,tenpercent_scan,5,0.017000,0.130000
aquery,tenpercent_scan,6,0.016000,0.124000
aquery,tenpercent_scan,7,0.017000,0.124000
aquery,tenpercent_scan,8,0.018000,0.206000
aquery,tenpercent_scan,9,0.020000,0.132000
aquery,tenpercent_scan,10,0.019000,0.127000
aquery,tenpercent_scan,11,0.019000,0.132000
aquery,twentypercent_index,1,0.019000,0.128000
aquery,twentypercent_index,2,0.020000,0.210000
aquery,twentypercent_index,3,0.021000,0.639000
aquery,twentypercent_index,4,0.018000,0.123000
aquery,twentypercent_index,5,0.018000,0.125000
aquery,twentypercent_index,6,0.017000,0.127000
aquery,twentypercent_index,7,0.017000,0.124000
aquery,twentypercent_index,8,0.020000,0.130000
aquery,twentypercent_index,9,0.025000,0.138000
aquery,twentypercent_index,10,0.024000,0.139000
aquery,twentypercent_index,11,0.024000,0.131000
aquery,twentypercent_scan,1,0.018000,0.128000
aquery,twentypercent_scan,2,0.024000,0.133000
aquery,twentypercent_scan,3,0.025000,0.132000
aquery,twentypercent_scan,4,0.025000,0.141000
aquery,twentypercent_scan,5,0.025000,0.139000
aquery,twentypercent_scan,6,0.028000,0.135000
aquery,twentypercent_scan,7,0.029000,0.176000
aquery,twentypercent_scan,8,0.025000,0.134000
aquery,twentypercent_scan,9,0.027000,0.222000
aquery,twentypercent_scan,10,0.021000,0.140000
aquery,twentypercent_scan,11,0.022000,0.131000
aquery,onepercent_index,1,0.023000,0.291000
aquery,onepercent_index,2,0.019000,0.285000
aquery,onepercent_index,3,0.021000,0.130000
aquery,onepercent_index,4,0.019000,0.127000
aquery,onepercent_index,5,0.019000,0.131000
aquery,onepercent_index,6,0.019000,0.127000
aquery,onepercent_index,7,0.018000,0.131000
aquery,onepercent_index,8,0.020000,0.210000
aquery,onepercent_index,9,0.019000,0.131000
aquery,onepercent_index,10,0.019000,0.129000
aquery,onepercent_index,11,0.021000,0.208000
aquery,onepercent_scan,1,0.021000,0.308000
aquery,onepercent_scan,2,0.019000,0.124000
aquery,onepercent_scan,3,0.019000,0.214000
aquery,onepercent_scan,4,0.019000,0.127000
aquery,onepercent_scan,5,0.023000,0.640000
aquery,onepercent_scan,6,0.018000,0.124000
aquery,onepercent_scan,7,0.019000,0.133000
aquery,onepercent_scan,8,0.021000,0.209000
aquery,onepercent_scan,9,0.019000,0.130000
aquery,onepercent_scan,10,0.020000,0.210000
aquery,onepercent_scan,11,0.020000,0.133000
aquery,fivepercent_index,1,0.019000,0.134000
aquery,fivepercent_index,2,0.018000,0.125000
aquery,fivepercent_index,3,0.019000,0.132000
aquery,fivepercent_index,4,0.021000,0.210000
aquery,fivepercent_index,5,0.020000,0.132000
aquery,fivepercent_index,6,0.020000,0.135000
aquery,fivepercent_index,7,0.021000,0.212000
aquery,fivepercent_index,8,0.018000,0.125000
aquery,fivepercent_index,9,0.021000,0.207000
aquery,fivepercent_index,10,0.020000,0.130000
aquery,fivepercent_index,11,0.021000,0.211000
aquery,fivepercent_scan,1,0.018000,0.123000
aquery,fivepercent_scan,2,0.019000,0.130000
aquery,fivepercent_scan,3,0.019000,0.130000
aquery,fivepercent_scan,4,0.019000,0.130000
aquery,fivepercent_scan,5,0.021000,0.211000
aquery,fivepercent_scan,6,0.019000,0.128000
aquery,fivepercent_scan,7,0.020000,0.209000
aquery,fivepercent_scan,8,0.021000,0.206000
aquery,fivepercent_scan,9,0.020000,0.130000
aquery,fivepercent_scan,10,0.020000,0.126000
aquery,fivepercent_scan,11,0.019000,0.131000
aquery,tenpercent_index,1,0.020000,0.208000
aquery,tenpercent_index,2,0.018000,0.131000
aquery,tenpercent_index,3,0.020000,0.208000
aquery,tenpercent_index,4,0.019000,0.131000
aquery,tenpercent_index,5,0.020000,0.213000
aquery,tenpercent_index,6,0.018000,0.125000
aquery,tenpercent_index,7,0.019000,0.131000
aquery,tenpercent_index,8,0.018000,0.131000
aquery,tenpercent_index,9,0.021000,0.145000
aquery,tenpercent_index,10,0.019000,0.131000
aquery,tenpercent_index,11,0.020000,0.208000
aquery,tenpercent_scan,1,0.018000,0.126000
aquery,tenpercent_scan,2,0.017000,0.207000
aquery,tenpercent_scan,3,0.021000,0.133000
aquery,tenpercent_scan,4,0.020000,0.131000
aquery,tenpercent_scan,5,0.020000,0.134000
aquery,tenpercent_scan,6,0.019000,0.124000
aquery,tenpercent_scan,7,0.018000,0.126000
aquery,tenpercent_scan,8,0.021000,0.212000
aquery,tenpercent_scan,9,0.019000,0.127000
aquery,tenpercent_scan,10,0.018000,0.124000
aquery,tenpercent_scan,11,0.018000,0.124000
aquery,twentypercent_index,1,0.020000,0.213000
aquery,twentypercent_index,2,0.017000,0.128000
aquery,twentypercent_index,3,0.017000,0.122000
aquery,twentypercent_index,4,0.019000,0.206000
aquery,twentypercent_index,5,0.020000,0.211000
aquery,twentypercent_index,6,0.018000,0.128000
aquery,twentypercent_index,7,0.021000,0.123000
aquery,twentypercent_index,8,0.024000,0.133000
aquery,twentypercent_index,9,0.026000,0.139000
aquery,twentypercent_index,10,0.027000,0.141000
aquery,twentypercent_index,11,0.029000,0.148000
aquery,twentypercent_scan,1,0.028000,0.222000
aquery,twentypercent_scan,2,0.026000,0.144000
aquery,twentypercent_scan,3,0.025000,0.218000
aquery,twentypercent_scan,4,0.025000,0.217000
aquery,twentypercent_scan,5,0.027000,0.134000
aquery,twentypercent_scan,6,0.024000,0.143000
aquery,twentypercent_scan,7,0.030000,0.236000
aquery,twentypercent_scan,8,0.026000,0.142000
aquery,twentypercent_scan,9,0.024000,0.137000
aquery,twentypercent_scan,10,0.028000,0.142000
aquery,twentypercent_scan,11,0.026000,0.138000
aquery,onepercent_index,1,0.023000,0.217000
aquery,onepercent_index,2,0.020000,0.133000
aquery,onepercent_index,3,0.020000,0.137000
aquery,onepercent_index,4,0.018000,0.122000
aquery,onepercent_index,5,0.020000,0.129000
aquery,onepercent_index,6,0.020000,0.125000
aquery,onepercent_index,7,0.017000,0.125000
aquery,onepercent_index,8,0.018000,0.126000
aquery,onepercent_index,9,0.019000,0.130000
aquery,onepercent_index,10,0.019000,0.133000
aquery,onepercent_index,11,0.018000,0.127000
aquery,onepercent_scan,1,0.019000,0.135000
aquery,onepercent_scan,2,0.019000,0.130000
aquery,onepercent_scan,3,0.018000,0.125000
aquery,onepercent_scan,4,0.021000,0.210000
aquery,onepercent_scan,5,0.018000,0.127000
aquery,onepercent_scan,6,0.018000,0.125000
aquery,onepercent_scan,7,0.019000,0.131000
aquery,onepercent_scan,8,0.019000,0.129000
aquery,onepercent_scan,9,0.019000,0.133000
aquery,onepercent_scan,10,0.018000,0.124000
aquery,onepercent_scan,11,0.022000,0.222000
aquery,fivepercent_index,1,0.018000,0.123000
aquery,fivepercent_index,2,0.019000,0.130000
aquery,fivepercent_index,3,0.018000,0.123000
aquery,fivepercent_index,4,0.018000,0.124000
aquery,fivepercent_index,5,0.019000,0.132000
aquery,fivepercent_index,6,0.023000,0.643000
aquery,fivepercent_index,7,0.019000,0.126000
aquery,fivepercent_index,8,0.020000,0.208000
aquery,fivepercent_index,9,0.020000,0.130000
aquery,fivepercent_index,10,0.018000,0.122000
aquery,fivepercent_index,11,0.018000,0.123000
aquery,fivepercent_scan,1,0.018000,0.122000
aquery,fivepercent_scan,2,0.021000,0.139000
aquery,fivepercent_scan,3,0.020000,0.133000
aquery,fivepercent_scan,4,0.018000,0.123000
aquery,fivepercent_scan,5,0.018000,0.122000
aquery,fivepercent_scan,6,0.018000,0.125000
aquery,fivepercent_scan,7,0.021000,0.212000
aquery,fivepercent_scan,8,0.018000,0.124000
aquery,fivepercent_scan,9,0.019000,0.128000
aquery,fivepercent_scan,10,0.018000,0.123000
aquery,fivepercent_scan,11,0.018000,0.124000
aquery,tenpercent_index,1,0.022000,0.638000
aquery,tenpercent_index,2,0.019000,0.140000
aquery,tenpercent_index,3,0.019000,0.127000
aquery,tenpercent_index,4,0.019000,0.128000
aquery,tenpercent_index,5,0.019000,0.128000
aquery,tenpercent_index,6,0.019000,0.133000
aquery,tenpercent_index,7,0.020000,0.147000
aquery,tenpercent_index,8,0.020000,0.132000
aquery,tenpercent_index,9,0.019000,0.131000
aquery,tenpercent_index,10,0.021000,0.221000
aquery,tenpercent_index,11,0.019000,0.129000
aquery,tenpercent_scan,1,0.018000,0.123000
aquery,tenpercent_scan,2,0.018000,0.125000
aquery,tenpercent_scan,3,0.020000,0.211000
aquery,tenpercent_scan,4,0.019000,0.125000
aquery,tenpercent_scan,5,0.020000,0.146000
aquery,tenpercent_scan,6,0.020000,0.206000
aquery,tenpercent_scan,7,0.023000,0.642000
aquery,tenpercent_scan,8,0.021000,0.212000
aquery,tenpercent_scan,9,0.020000,0.132000
aquery,tenpercent_scan,10,0.021000,0.310000
aquery,tenpercent_scan,11,0.019000,0.132000
aquery,twentypercent_index,1,0.019000,0.135000
aquery,twentypercent_index,2,0.019000,0.130000
aquery,twentypercent_index,3,0.019000,0.131000
aquery,twentypercent_index,4,0.019000,0.133000
aquery,twentypercent_index,5,0.019000,0.129000
aquery,twentypercent_index,6,0.019000,0.131000
aquery,twentypercent_index,7,0.018000,0.127000
aquery,twentypercent_index,8,0.020000,0.133000
aquery,twentypercent_index,9,0.019000,0.129000
aquery,twentypercent_index,10,0.020000,0.212000
aquery,twentypercent_index,11,0.018000,0.123000
aquery,twentypercent_scan,1,0.018000,0.120000
aquery,twentypercent_scan,2,0.019000,0.135000
aquery,twentypercent_scan,3,0.019000,0.126000
aquery,twentypercent_scan,4,0.019000,0.139000
aquery,twentypercent_scan,5,0.021000,0.212000
aquery,twentypercent_scan,6,0.019000,0.130000
aquery,twentypercent_scan,7,0.018000,0.123000
aquery,twentypercent_scan,8,0.019000,0.138000
aquery,twentypercent_scan,9,0.021000,0.168000
aquery,twentypercent_scan,10,0.020000,0.125000
aquery,twentypercent_scan,11,0.019000,0.128000
aquery,onepercent_index,1,0.021000,0.252000
aquery,onepercent_index,2,0.021000,0.209000
aquery,onepercent_index,3,0.023000,0.225000
aquery,onepercent_index,4,0.023000,0.217000
